,t,Af_R1,Af_R2,Af_R3,Af_R5,Af_R6,Af_R7,Af_R8,Af_R9,Af_R11,Af_R12,Af_R13,Af_R14,Af_R15,Ar_R1,Ar_R2,Ar_R3,Ar_R5,Ar_R6,Ar_R7,Ar_R8,Ar_R9,Ar_R11,Ar_R12,Ar_R13,Ar_R14,Ar_R15,v_R1,v_R2,v_R3,v_R5,v_R6,v_R7,v_R8,v_R9,v_R11,v_R12,v_R13,v_R14,v_R15,mu_H,mu_Ke,mu_Ki,mu_Nae,mu_Nai,mu_MgATP,mu_MgADP,mu_P_i,v_H,v_Ke,v_Ki,v_Nae,v_Nai,v_MgATP,v_MgADP,v_P_i,mu_P1,mu_P2,mu_P3,mu_P5,mu_P6,mu_P7,mu_P8,mu_P9,mu_P11,mu_P12,mu_P13,mu_P14,mu_P15,v_P1,v_P2,v_P3,v_P5,v_P6,v_P7,v_P8,v_P9,v_P11,v_P12,v_P13,v_P14,v_P15,V_mem,I_mem
0,0.0,-7980.938864921814,-23111.12360759188,-1787.7816056352826,591.7391099382342,-47.33357151853733,20491.745421270734,20486.04222247315,5516.633175302512,-6016.541716573762,-9506.139787092652,-9506.371440180414,17711.626783821615,17711.064471889455,-48748.46475018787,-28615.07542685407,-1788.1662473073563,588.9000966814625,-12257.631352683522,20486.04222247315,20480.084257049242,5513.690884615702,-6018.853529396652,-9506.371440180414,-49057.20620637771,17711.064471889455,-7980.938864921814,14.941858177897803,14.941858177897803,14.941858178086948,14.941858177847607,14.941858177897872,14.94185817792479,14.941858177886655,14.94185817788588,14.94185817787171,14.941858178176435,14.941858177897808,14.941858178074433,14.941858177897796,-24692.32110947245,-3487.2862576959988,-25637.341142595993,4021.4731717467325,1189.9526786227952,17535.432485339614,-32749.376773954256,-16383.946231983447,14.941858177897808,-29.883716356048147,29.883716355795606,44.82557453365841,-44.82557453378216,-14.941858178074433,14.941858177897872,14.941858177897808,-7980.938864921814,-23111.12360759188,-2977.734284258078,-1788.1662473073563,-47.33357151853733,20491.745421270734,20486.04222247315,5516.633175302512,-2529.2554588777634,-6018.853529396652,-9506.371440180414,176.1942984820005,17711.064471889455,-7.105427357601002e-15,0.0,-1.8914469990249927e-10,2.3934099147027155e-10,-5.026556948450889e-11,-2.6917135187431995e-11,3.813482862824458e-11,7.744915819785092e-13,1.4169998507895798e-11,-3.0472513401491597e-10,2.786268993304475e-10,-1.766249368984063e-10,1.766373713962821e-10,-0.12,-1441666.627958373
1,0.1,-7973.863303106206,-23104.176811854657,-1781.7957902123617,597.7247639701229,-40.818443312810736,20489.781414131645,20484.057479125906,5523.744447243578,-6009.431040214662,-9499.029566100591,-9499.26125178087,17718.702346158945,17718.140033724547,-48741.51795445065,-28609.08961143115,-1782.1805932754676,594.8850301636887,-12259.595359822611,20484.057479125906,20478.0772140653,5520.801560974802,-6011.743308404593,-9499.26125178087,-49050.1306445621,17718.140033724547,-7973.863303106206,14.982934362448152,14.982934362393369,14.982884176435283,14.980398715530269,14.98011153408079,14.984701713670217,14.986173206802214,14.98617313274855,14.98608846141017,14.985243812467699,14.983135659588314,14.982947746307643,14.98293436246034,-24692.32110947245,-3487.2862576959988,-25637.341142595993,4021.4731717467325,1189.9526786227952,17535.432485339614,-32749.376773954256,-16383.946231983447,14.983135659588314,-29.97133227387787,29.96586872484152,44.958519472299315,-44.94368160749582,-14.982947746307643,14.98011153408079,14.983135659588314,-7973.863303106206,-23104.176811854657,-2971.748468835157,-1782.1805932754676,-40.818443312810736,20489.781414131645,20484.057479125906,5523.744447243578,-2522.1447825186638,-6011.743308404593,-9499.26125178087,183.26986081933055,17718.140033724547,1.2187584275125118e-11,5.4782844927103724e-11,5.018595808614634e-05,0.002485460905013781,0.0002871814494795899,-0.0045901795894280895,-0.0014714931319961266,7.405366275747838e-08,8.467133838152563e-05,0.0008446489424702719,0.002108152879385372,0.00018791328067102597,1.3383847303316543e-05,-0.11989999999999991,-1445911.7517512005
2,0.2,-7966.814404626636,-23097.199736102684,-1775.354903571319,604.1655598145803,-33.84812370920191,20487.75335612012,20482.009204750422,5530.79331839564,-6002.382168606133,-9491.980694143062,-9492.21237979836,17725.751244647832,17725.188932213812,-48734.54087869868,-28602.648724790106,-1775.7397974310102,601.3251550437976,-12261.623417834136,20482.009204750422,20476.007770292363,5527.850432583331,-6004.694436447064,-9492.21237979836,-49043.081746082535,17725.188932213812,-7966.814404626636,15.023968040032136,15.023968039977236,15.023917773774425,15.021428110396005,15.02114063222119,15.025739110657938,15.027213427545394,15.027213191419305,15.027128353284454,15.026282040206276,15.024169733946914,15.023981450399157,15.02396804004435,-24692.32110947245,-3487.2862576959988,-25637.341142595993,4021.4731717467325,1189.9526786227952,17535.432485339614,-32749.376773954256,-16383.946231983447,15.024169733946914,-30.05341039349073,30.04793608000937,45.081639810384004,-45.06677399456643,-15.023981450399157,15.02114063222119,15.024169733946914,-7966.814404626636,-23097.199736102684,-2965.3075821941143,-1775.7397974310102,-33.84812370920191,20487.75335612012,20482.009204750422,5530.79331839564,-2515.0959109101336,-6004.694436447064,-9492.21237979836,190.31875930821755,17725.188932213812,1.2214229627716122e-11,5.490008447850414e-11,5.0266202810789196e-05,0.0024896633784194933,0.0002874781748154476,-0.004598478436747655,-0.0014743168874566948,2.3612608934797663e-07,8.483813485149483e-05,0.0008463130781777295,0.0021123062593613184,0.0001882835477573508,1.3410354807064095e-05,-0.11979999999999992,-1449871.464011141
3,0.30000000000000004,-7959.770993103012,-23090.228102957848,-1768.9192548551064,610.601117750045,-26.88303922934341,20485.71995835686,20479.95551949169,5537.8367023057845,-5995.338784235036,-9484.937309419533,-9485.168995049606,17732.79465618076,17732.23234374713,-48727.56924555384,-28596.213076073895,-1769.3042394955455,607.760044800156,-12263.656815597395,20479.95551949169,20473.932839277506,5534.893816954428,-5997.651051723534,-9485.168995049606,-49036.03833455891,17732.23234374713,-7959.770993103012,15.065082023897379,15.065082023842388,15.065031675042706,15.062523669121552,15.062249890199878,15.06685676262635,15.068337737722837,15.068333535491929,15.068248531086244,15.067400559228956,15.065284113196174,15.065095460478458,15.065082023909634,-24692.32110947245,-3487.2862576959988,-25637.341142595993,4021.4731717467325,1189.9526786227952,17535.432485339614,-32749.376773954256,-16383.946231983447,15.065284113196174,-30.135649090315198,30.13016404773977,45.2050048087067,-45.19007901328581,-15.065095460478458,15.062249890199878,15.065284113196174,-7959.770993103012,-23090.228102957848,-2958.8719334779016,-1769.3042394955455,-26.88303922934341,20485.71995835686,20479.95551949169,5537.8367023057845,-2508.052526539037,-5997.651051723534,-9485.168995049606,197.36217084114492,17732.23234374713,1.2255085835022328e-11,5.4990678677313554e-11,5.034879968235373e-05,0.0025080059211539663,0.00027377892167379514,-0.004606872426471398,-0.0014809750964879242,4.202230908134652e-06,8.500440568504075e-05,0.0008479718572882433,0.0021164460327813828,0.0001886527177159536,1.3436568824687356e-05,-0.1196999999999999,-1453839.19460781
4,0.4,-7952.733076316865,-23083.261919931145,-1762.488849375528,617.0314324651154,-19.92320106317669,20483.681210116578,20477.89641237004,5544.8745911715105,-5988.300894903556,-9477.899419731948,-9478.131105336533,17739.832572976193,17739.270260542962,-48720.60306252714,-28589.782670594315,-1762.8739247804751,614.1896882428227,-12265.695563837678,20477.89641237004,20471.852413218236,5541.931706285908,-5990.613162035949,-9478.131105336533,-49029.00041777277,17739.270260542962,-7952.733076316865,15.106276312901512,15.106276312846402,15.106225878571829,15.103716526828896,15.103439291433238,15.108054663192652,15.10953751411679,15.109534161820221,15.109448991730806,15.108599367183674,15.10647879605836,15.106289775520686,15.1062763129138,-24692.32110947245,-3487.2862576959988,-25637.341142595993,4021.4731717467325,1189.9526786227952,17535.432485339614,-32749.376773954256,-16383.946231983447,15.10647879605836,-30.21804835891448,30.212552625747914,45.32860583775723,-45.31365893222962,-15.106289775520686,15.103439291433238,15.10647879605836,-7952.733076316865,-23083.261919931145,-2952.441527998323,-1762.8739247804751,-19.92320106317669,20483.681210116578,20477.89641237004,5544.8745911715105,-2501.0146372075565,-5990.613162035949,-9478.131105336533,204.40008763658065,17739.270260542962,1.2287060258131532e-11,5.510969458555337e-11,5.043427457351868e-05,0.002509351742933319,0.0002772353956572715,-0.004615371759413733,-0.0014828509241375798,3.352296568337465e-06,8.517008941488768e-05,0.0008496245471327768,0.0021205711253138304,0.00018902053767355653,1.3462606887060247e-05,-0.1195999999999999,-1457814.3223258294
5,0.5,-7945.70066914463,-23076.30119963029,-1756.0636826097448,623.4565084854846,-12.968599989965869,20481.637100142005,20475.83187186654,5551.906970338774,-5981.268515269165,-9470.867039740402,-9471.098725319423,17746.864980157712,17746.30266772487,-48713.64234222628,-28583.357503828534,-1756.4488487601059,620.6140945925335,-12267.739673812252,20475.83187186654,20469.766477460496,5548.964085920299,-5983.580782044404,-9471.098725319423,-49021.968010600525,17746.30266772487,-7945.70066914463,15.147550863313255,15.147550863258015,15.147500343232661,15.14498187989038,15.144708939270153,15.149332818404902,15.150819903715735,15.150815045365873,15.150729709704597,15.149878433447448,15.147753740055185,15.147564352223544,15.147550863325542,-24692.32110947245,-3487.2862576959988,-25637.341142595993,4021.4731717467325,1189.9526786227952,17535.432485339614,-32749.376773954256,-16383.946231983447,15.147753740055185,-30.300608143152047,30.295101726571268,45.45244999444748,-45.437464103013426,-15.147564352223544,15.144708939270153,15.147753740055185,-7945.70066914463,-23076.30119963029,-2946.01636123254,-1756.4488487601059,-12.968599989965869,20481.637100142005,20475.83187186654,5551.906970338774,-2493.982257573166,-5983.580782044404,-9471.098725319423,211.43249481809687,17746.30266772487,1.2287060258131532e-11,5.523936863482959e-11,5.052002535421707e-05,0.0025184633422803415,0.00027294062022775734,-0.004623879134749487,-0.0014870853108330806,4.858349862857381e-06,8.533566127510994e-05,0.0008512762571495358,0.002124693392262955,0.00018938783164124118,1.3488898002123051e-05,-0.1194999999999999,-1461797.3673425922
6,0.6,-7938.673781971017,-23069.345950788054,-1749.6437507534001,629.8763496176232,-6.019235110345142,20479.587616689412,20473.761885973352,5558.9338295334865,-5974.241655607659,-9463.840179721998,-9464.071865275473,17753.8918673406,17753.329554908156,-48706.68709338405,-28576.937571972187,-1750.0290076279673,627.0332647486543,-12269.789157264844,20473.761885973352,20467.675021730207,5555.990945581805,-5976.553922025999,-9464.071865275473,-49014.941123426914,17753.329554908156,-7938.673781971017,15.188905656522236,15.188905656466883,15.188855051674892,15.186335255848315,15.186058887859415,15.190691234349078,15.19217988607759,15.192176176868099,15.19209067549794,15.19123774621383,15.189108927203145,15.188919171566626,15.188905656534558,-24692.32110947245,-3487.2862576959988,-25637.341142595993,4021.4731717467325,1189.9526786227952,17535.432485339614,-32749.376773954256,-16383.946231983447,15.189108927203145,-30.38332842171177,30.377811312989117,45.57653223981379,-45.56152556337152,-15.188919171566626,15.186058887859415,15.189108927203145,-7938.673781971017,-23069.345950788054,-2939.5964293761954,-1750.0290076279673,-6.019235110345142,20479.587616689412,20473.761885973352,5558.9338295334865,-2486.95539791166,-5976.553922025999,-9464.071865275473,218.45938200098783,17753.329554908156,1.2322587394919537e-11,5.5353055472551205e-11,5.060479199059387e-05,0.0025197958265774645,0.00027636798889929537,-0.004632346489662709,-0.0014886517285113143,3.709209490665444e-06,8.550137015816972e-05,0.0008529292841110703,0.0021288190106840688,0.0001897556365193509,1.3515032067701327e-05,-0.1193999999999999,-1465787.9542045887
7,0.7,-7931.652425035575,-23062.396185085356,-1743.22907606143,636.2909336048453,0.9248737222197772,20477.532751789313,20471.68644648028,5565.95515844128,-5967.220326232255,-9456.818849989071,-9457.050535516957,17760.913224285316,17760.350911853264,-48699.737327681345,-28570.522897280218,-1743.6144236407451,633.4471788577192,-12271.844022164943,20471.68644648028,20465.578035713002,5563.012274957209,-5969.5325922930715,-9457.050535516957,-49007.91976649147,17760.350911853264,-7931.652425035575,15.230340673708687,15.230340673653256,15.230289984168106,15.227763762498581,15.2274890671857,15.2321298749524,15.233622035838419,15.2336175310752,15.233531864046155,15.232677282054397,15.230544338251166,15.230354215021778,15.230340673721038,-24692.32110947245,-3487.2862576959988,-25637.341142595993,4021.4731717467325,1189.9526786227952,17535.432485339614,-32749.376773954256,-16383.946231983447,15.230544338251166,-30.466209146100553,30.46068134736194,45.700857097988816,-45.68581750916527,-15.230354215021778,15.2274890671857,15.230544338251166,-7931.652425035575,-23062.396185085356,-2933.1817546842253,-1743.6144236407451,0.9248737222197772,20477.532751789313,20471.68644648028,5565.95515844128,-2479.934068536256,-5969.5325922930715,-9457.050535516957,225.48073894570086,17760.350911853264,1.2351009104349941e-11,5.5431215173484816e-11,5.068948514974636e-05,0.002526221669524986,0.0002746953128802687,-0.00464080776669995,-0.0014921608860181124,4.50476321844917e-06,8.566702904566625e-05,0.000854581991758252,0.0021329438032307024,0.00019012322938749548,1.3541300740271822e-05,-0.11929999999999989,-1469786.4316877557
8,0.7999999999999999,-7924.636607684937,-23055.45191174584,-1736.819666645018,642.7002523361721,7.863716775615443,20475.472495303053,20469.605542993068,5572.970947722398,-5960.204536482817,-9449.803059881568,-9450.034745383826,17767.929041645213,17767.366729213558,-48692.79305434183,-28564.113487863808,-1737.2051049094184,639.8558271876149,-12273.904278651204,20469.605542993068,20463.475510069118,5570.028064706647,-5962.516802185568,-9450.034745383826,-49000.90394914083,17767.366729213558,-7924.636607684937,15.27185590028123,15.27185590022569,15.271805126298199,15.26927605312113,15.268999466185386,15.273648726855626,15.275143034982039,15.27513909392775,15.27505326123872,15.274197026810631,15.272059958642444,15.271869467740652,15.271855900293597,-24692.32110947245,-3487.2862576959988,-25637.341142595993,4021.4731717467325,1189.9526786227952,17535.432485339614,-32749.376773954256,-16383.946231983447,15.272059958642444,-30.54925028804935,30.54371180050692,45.82542122283754,-45.81035723254046,-15.271869467740652,15.268999466185386,15.272059958642444,-7924.636607684937,-23055.45191174584,-2926.7723452678133,-1737.2051049094184,7.863716775615443,20475.472495303053,20469.605542993068,5572.970947722398,-2472.9182787868185,-5962.516802185568,-9450.034745383826,232.49655630560028,17767.366729213558,1.2366996315904544e-11,5.553957294068823e-11,5.0773927490865844e-05,0.0025290731770688524,0.0002765869357439499,-0.004649260670239741,-0.0014943081264124913,3.941054288247869e-06,8.583268903095131e-05,0.0008562344280882428,0.0021370681681869286,0.00019049090179201755,1.3567447055606863e-05,-0.1191999999999999,-1473792.5431241624
9,0.8999999999999999,-7917.626358537517,-23048.513164078762,-1730.4155907011955,649.1042376086837,14.797262869175933,20473.40684856241,20467.51917665883,5579.981168757313,-5953.19431497887,-9442.79283801901,-9443.024523495602,17774.93929080189,17774.376978370627,-48685.85430667475,-28557.709411919983,-1730.8011196369068,646.2591785576755,-12275.969925391848,20467.51917665883,20461.367416179037,5577.0382862105935,-5955.50658032301,-9443.024523495602,-48993.893699993416,17774.376978370627,-7917.626358537517,15.313451206134305,15.313451206078675,15.313400347648678,15.310672665038147,15.310589943713508,15.315247657198611,15.316816289032275,15.316740735183863,15.316654736864894,15.315796850311811,15.313655658258588,15.313464799759876,15.313451206146695,-24692.32110947245,-3487.2862576959988,-25637.341142595993,4021.4731717467325,1189.9526786227952,17535.432485339614,-32749.376773954256,-16383.946231983447,15.313655658258588,-30.632451587176703,30.626902412212978,45.9502977594,-45.934745677724976,-15.313464799759876,15.310589943713508,15.313655658258588,-7917.626358537517,-23048.513164078762,-2920.3682693239907,-1730.8011196369068,14.797262869175933,20473.40684856241,20467.51917665883,5579.981168757313,-2465.9080572828716,-5955.50658032301,-9443.024523495602,239.50680546227662,17774.376978370627,1.2390088954816747e-11,5.5630167139497644e-11,5.085842999719148e-05,0.0027276826105300245,8.272132463993387e-05,-0.004657713485103798,-0.001568631833663403,7.555384841140267e-05,8.599831896916044e-05,0.0008578865530832758,0.002141192053223051,0.0001908584987120321,1.3593613180873376e-05,-0.11909999999999991,-1477811.9243200498
