,t,Af_R1,Af_R2,Af_R3,Af_R4,Af_R5,Af_R6,Af_R7,Af_R8,Af_R9,Af_R10,Af_R11,Af_R12,Af_R13,Af_R14,Af_R15,Ar_R1,Ar_R2,Ar_R3,Ar_R4,Ar_R5,Ar_R6,Ar_R7,Ar_R8,Ar_R9,Ar_R10,Ar_R11,Ar_R12,Ar_R13,Ar_R14,Ar_R15,v_R1,v_R2,v_R3,v_R4,v_R5,v_R6,v_R7,v_R8,v_R9,v_R10,v_R11,v_R12,v_R13,v_R14,v_R15,mu_H,mu_Ke,mu_Ki,mu_Nae,mu_Nai,mu_MgATP,mu_MgADP,mu_P_i,v_H,v_Ke,v_Ki,v_Nae,v_Nai,v_MgATP,v_MgADP,v_P_i,mu_P1,mu_P2,mu_P3,mu_P4,mu_P5,mu_P6,mu_P7,mu_P8,mu_P9,mu_P10,mu_P11,mu_P12,mu_P13,mu_P14,mu_P15,v_P1,v_P2,v_P3,v_P4,v_P5,v_P6,v_P7,v_P8,v_P9,v_P10,v_P11,v_P12,v_P13,v_P14,v_P15,V_mem,I_mem
0,0,-8211.744212,-23341.92629,-2018.564427,-828.996387,360.9345964,-278.1380841,20261.03537,20255.33238,5285.923552,1261.508199,-6247.334416,-9736.932475,-9737.164127,17480.82144,17480.25912,-48979.26744,-28845.85825,-2018.949066,-829.0180822,358.0955841,-12488.34141,20255.33238,20249.37463,5282.981371,1261.425013,-6249.646218,-9737.164127,-41130.87839,17480.25912,-8211.744212,13.66195254,13.66195254,13.66195254,13.66195253,13.66195254,13.66195254,13.66195254,13.66195254,13.66195254,13.66195254,13.66195254,13.66195254,13.66195254,13.66195254,13.66195254,-24692.32111,-3487.286258,-25637.34114,4021.473172,1189.952679,17535.43249,-32749.37677,-16383.94623,13.66195254,-27.32390508,27.32390508,40.98585762,-40.98585762,-13.66195254,13.66195254,13.66195254,-8211.744212,-23341.92629,-3208.517106,-2018.949066,-829.0180822,-278.1380841,20261.03537,20255.33238,5285.923552,1261.508199,-2760.048158,-6249.646218,-9737.164127,-54.61104891,17480.25912,-5.33E-15,5.33E-14,2.10E-10,5.54E-09,-5.78E-09,3.20E-11,-2.56E-12,2.23E-11,-2.72E-11,2.05E-10,-2.46E-10,5.33E-10,-4.86E-10,1.14E-11,-1.14E-11,-0.12,-1318174.809
1,0.1,-8205.11894,-23335.46813,-2013.353496,-823.7856661,366.1453067,-272.3978923,20258.61795,20252.89447,5292.58175,1268.165848,-6240.676783,-9730.275262,-9730.506944,17487.44671,17486.8844,-48972.80928,-28840.64732,-2013.738345,-823.8073719,363.3055812,-12490.75883,20252.89447,20246.91452,5289.639019,1268.082647,-6242.989004,-9730.506944,-41124.25312,17486.8844,-8205.11894,13.69711693,13.69711693,13.69707502,13.69633193,13.69303823,13.69279644,13.69813869,13.69984737,13.69984757,13.69984555,13.69977422,13.69906261,13.69728652,13.69712821,13.69711693,-24692.32111,-3487.286258,-25637.34114,4021.473172,1189.952679,17535.43249,-32749.37677,-16383.94623,13.69728652,-27.39883683,27.39423387,41.09954048,-41.08644518,-13.69712821,13.69279644,13.69728652,-8205.11894,-23335.46813,-3203.306175,-2013.738345,-823.8073719,-272.3978923,20258.61795,20252.89447,5292.58175,1268.165848,-2753.390525,-6242.989004,-9730.506944,-47.98577561,17486.8844,1.03E-11,4.61E-11,4.19E-05,0.000743084,0.003293701,0.000241793,-0.005342246,-0.001708681,-1.99E-07,2.02E-06,7.13E-05,0.000711604,0.001776087,0.000158314,1.13E-05,-0.1199,-1321794.993
2,0.2,-8198.624049,-23329.04501,-2007.466235,-817.8984954,372.0324723,-265.981203,20256.03587,20250.29218,5299.076608,1274.660706,-6234.181924,-9723.780403,-9724.012085,17493.9416,17493.37929,-48966.38616,-28834.76006,-2007.851174,-817.9202064,369.1920758,-12493.3409,20250.29218,20244.29106,5296.133878,1274.577505,-6236.494145,-9724.012085,-41117.75823,17493.37929,-8198.624049,13.73167716,13.73167716,13.73163519,13.7308911,13.72759283,13.72735075,13.73270065,13.73441203,13.73441198,13.73440996,13.73433851,13.73362582,13.73184701,13.73168846,13.73167716,-24692.32111,-3487.286258,-25637.34114,4021.473172,1189.952679,17535.43249,-32749.37677,-16383.94623,13.73184701,-27.46796434,27.46335433,41.20323397,-41.19011913,-13.73168846,13.72735075,13.73184701,-8198.624049,-23329.04501,-3197.418914,-2007.851174,-817.9202064,-265.981203,20256.03587,20250.29218,5299.076608,1274.660706,-2746.895667,-6236.494145,-9724.012085,-41.49088521,17493.37929,1.03E-11,4.59E-11,4.20E-05,0.000744085,0.003298272,0.000242086,-0.005349901,-0.001711387,5.75E-08,2.02E-06,7.14E-05,0.000712692,0.00177881,0.000158556,1.13E-05,-0.1198,-1325129.915
3,0.3,-8192.135786,-23322.62828,-2001.583684,-812.0160352,377.9149273,-259.5692246,20253.44733,20247.68335,5305.564853,1281.148951,-6227.693679,-9717.292157,-9717.523839,17500.42986,17499.86755,-48959.96942,-28828.87751,-2001.968714,-812.0377513,375.0738594,-12495.92944,20247.68335,20241.66099,5302.622123,1281.06575,-6230.005899,-9717.523839,-41111.26996,17499.86755,-8192.135786,13.76628919,13.76628919,13.76624725,13.76550374,13.76221082,13.76196569,13.76731744,13.76902381,13.76902937,13.76902734,13.76895576,13.76824169,13.76645938,13.76630051,13.76628919,-24692.32111,-3487.286258,-25637.34114,4021.473172,1189.952679,17535.43249,-32749.37677,-16383.94623,13.76645938,-27.53719746,27.53257838,41.30708052,-41.29396181,-13.76630051,13.76196569,13.76645938,-8192.135786,-23322.62828,-3191.536363,-2001.968714,-812.0377513,-259.5692246,20253.44733,20247.68335,5305.564853,1281.148951,-2740.407421,-6230.005899,-9717.523839,-35.00262258,17499.86755,1.02E-11,4.44E-11,4.19E-05,0.000743505,0.003292918,0.00024513,-0.005351751,-0.001706363,-5.57E-06,2.03E-06,7.16E-05,0.000714074,0.001782312,0.000158868,1.13E-05,-0.1197,-1328469.468
4,0.4,-8185.653222,-23316.21757,-1995.709703,-806.1421447,383.7888127,-253.1658145,20250.85321,20245.06887,5312.04737,1287.63147,-6221.211161,-9710.809638,-9711.04132,17506.91243,17506.35011,-48953.55871,-28823.00352,-1996.094823,-806.1638659,380.9470748,-12498.52356,20245.06887,20239.02519,5309.104641,1287.548269,-6223.523381,-9711.04132,-41104.7874,17506.35011,-8185.653222,13.80095795,13.80095795,13.80091587,13.80016988,13.79686269,13.79662043,13.80198513,13.80370225,13.8037012,13.80369917,13.80362751,13.80291261,13.80112832,13.80096928,13.80095795,-24692.32111,-3487.286258,-25637.34114,4021.473172,1189.952679,17535.43249,-32749.37677,-16383.94623,13.80112832,-27.60654012,27.6019159,41.41110263,-41.39794844,-13.80096928,13.79662043,13.80112832,-8185.653222,-23316.21757,-3185.662381,-1996.094823,-806.1638659,-253.1658145,20250.85321,20245.06887,5312.04737,1287.63147,-2733.924903,-6223.523381,-9711.04132,-28.52005852,17506.35011,1.04E-11,4.66E-11,4.21E-05,0.000745988,0.003307188,0.000242259,-0.005364698,-0.001717122,1.06E-06,2.02E-06,7.17E-05,0.000714894,0.001784292,0.000159046,1.13E-05,-0.1196,-1331815.281
5,0.5,-8179.177259,-23309.81324,-1989.840632,-800.2731647,389.6577876,-246.7673157,20248.25265,20242.44788,5318.523301,1294.107401,-6214.73523,-9704.333707,-9704.565389,17513.38839,17512.82608,-48947.15438,-28817.13445,-1990.225843,-800.294891,386.8153789,-12501.12413,20242.44788,20236.38281,5315.580572,1294.024199,-6217.047449,-9704.565389,-41098.31144,17512.82608,-8179.177259,13.83567858,13.83567858,13.83563644,13.83488938,13.83157803,13.83133467,13.83670732,13.83842575,13.83842593,13.8384239,13.83835213,13.83763617,13.83584921,13.83568993,13.83567858,-24692.32111,-3487.286258,-25637.34114,4021.473172,1189.952679,17535.43249,-32749.37677,-16383.94623,13.83584921,-27.6759883,27.67135717,41.51527558,-41.50210384,-13.83568993,13.83133467,13.83584921,-8179.177259,-23309.81324,-3179.793311,-1990.225843,-800.294891,-246.7673157,20248.25265,20242.44788,5318.523301,1294.107401,-2727.448972,-6217.047449,-9704.565389,-22.04409465,17512.82608,1.03E-11,4.64E-11,4.21E-05,0.000747068,0.00331135,0.000243351,-0.005372645,-0.001718435,-1.74E-07,2.03E-06,7.18E-05,0.000715959,0.001786956,0.000159283,1.13E-05,-0.1195,-1335165.538
6,0.6,-8172.707659,-23303.41522,-1983.977493,-794.410116,395.5208312,-240.3747478,20245.64587,20239.8206,5324.992868,1300.576968,-6208.265662,-9697.864139,-9698.095821,17519.85799,17519.29568,-48940.75636,-28811.27131,-1984.362795,-794.4318474,392.6777521,-12503.7309,20239.8206,20233.73406,5322.05014,1300.493767,-6210.577881,-9698.095821,-41091.84184,17519.29568,-8172.707659,13.87045232,13.87045232,13.87041013,13.86966212,13.86634644,13.86610288,13.8714829,13.87320403,13.87320386,13.87320183,13.87312995,13.8724129,13.87062321,13.87046368,13.87045232,-24692.32111,-3487.286258,-25637.34114,4021.473172,1189.952679,17535.43249,-32749.37677,-16383.94623,13.87062321,-27.74554285,27.74090464,41.61960972,-41.60641869,-13.87046368,13.86610288,13.87062321,-8172.707659,-23303.41522,-3173.930171,-1984.362795,-794.4318474,-240.3747478,20245.64587,20239.8206,5324.992868,1300.576968,-2720.979404,-6210.577881,-9698.095821,-15.57449514,17519.29568,1.04E-11,4.64E-11,4.22E-05,0.000748003,0.003315678,0.000243561,-0.005380012,-0.001721131,1.64E-07,2.03E-06,7.19E-05,0.000717054,0.001789688,0.000159526,1.14E-05,-0.1194,-1338521.071
7,0.7,-8166.244405,-23297.02349,-1978.120438,-788.5531514,401.3777906,-233.9882618,20243.03291,20237.18706,5331.45609,1307.040191,-6201.80244,-9691.400916,-9691.632598,17526.32124,17525.75893,-48934.36463,-28805.41426,-1978.50583,-788.574888,398.5340433,-12506.34387,20237.18706,20231.07897,5328.513362,1306.95699,-6204.114658,-9691.632598,-41085.37858,17525.75893,-8166.244405,13.90527922,13.90527922,13.90523697,13.90448802,13.90115789,13.90092421,13.90631162,13.90805709,13.90803495,13.90803291,13.90796092,13.90724278,13.90545037,13.9052906,13.90527922,-24692.32111,-3487.286258,-25637.34114,4021.473172,1189.952679,17535.43249,-32749.37677,-16383.94623,13.90545037,-27.8152037,27.81055844,41.72412495,-41.71088287,-13.9052906,13.90092421,13.90545037,-8166.244405,-23297.02349,-3168.073116,-1978.50583,-788.574888,-233.9882618,20243.03291,20237.18706,5331.45609,1307.040191,-2714.516182,-6204.114658,-9691.632598,-9.111241131,17525.75893,1.04E-11,4.65E-11,4.22E-05,0.000748952,0.003330132,0.000233674,-0.005387403,-0.001745471,2.21E-05,2.03E-06,7.20E-05,0.000718145,0.001792412,0.000159769,1.14E-05,-0.1193,-1341883.651
8,0.8,-8159.787509,-23290.63807,-1972.269463,-782.7022671,407.2286699,-227.6078537,20240.41374,20234.54725,5337.912953,1313.497055,-6195.345576,-9684.944052,-9685.175733,17532.77814,17532.21583,-48927.97921,-28799.56328,-1972.654946,-782.7240088,404.3842567,-12508.96303,20234.54725,20228.41752,5334.970227,1313.413854,-6197.657794,-9685.175733,-41078.92169,17532.21583,-8159.787509,13.94015917,13.94015917,13.94011687,13.93936698,13.93601163,13.93579865,13.94119341,13.94298633,13.94291909,13.94291705,13.94284496,13.94212572,13.94033058,13.94017057,13.94015917,-24692.32111,-3487.286258,-25637.34114,4021.473172,1189.952679,17535.43249,-32749.37677,-16383.94623,13.94033058,-27.88497067,27.88031834,41.82882248,-41.81549549,-13.94017057,13.93579865,13.94033058,-8159.787509,-23290.63807,-3162.222141,-1972.654946,-782.7240088,-227.6078537,20240.41374,20234.54725,5337.912953,1313.497055,-2708.059318,-6197.657794,-9685.175733,-2.654345246,17532.21583,1.04E-11,4.66E-11,4.23E-05,0.00074989,0.003355348,0.000212983,-0.005394755,-0.001792924,6.72E-05,2.04E-06,7.21E-05,0.000719237,0.001795137,0.000160012,1.14E-05,-0.1192,-1345253.402
9,0.9,-8153.336958,-23284.25895,-1966.424534,-776.8574292,413.0735026,-221.2334979,20237.78835,20231.90115,5344.363472,1319.947574,-6188.895056,-9678.493532,-9678.725213,17539.22869,17538.66638,-48921.60009,-28793.71836,-1966.810108,-776.879176,410.2284178,-12511.58842,20231.90115,20225.74972,5341.420746,1319.864373,-6191.207274,-9678.725213,-41072.47114,17538.66638,-8153.336958,13.97509222,13.97509222,13.97504986,13.97429906,13.97094746,13.97072631,13.97612833,13.97790685,13.97785634,13.9778543,13.97778209,13.97706175,13.97526389,13.97510363,13.97509222,-24692.32111,-3487.286258,-25637.34114,4021.473172,1189.952679,17535.43249,-32749.37677,-16383.94623,13.97526389,-27.95484384,27.95018443,41.93361748,-41.92029639,-13.97510363,13.97072631,13.97526389,-8153.336958,-23284.25895,-3156.377213,-1966.810108,-776.879176,-221.2334979,20237.78835,20231.90115,5344.363472,1319.947574,-2701.608798,-6191.207274,-9678.725213,3.796205806,17538.66638,1.04E-11,4.67E-11,4.24E-05,0.000750802,0.0033516,0.000221155,-0.005402018,-0.001778528,5.05E-05,2.04E-06,7.22E-05,0.000720332,0.001797869,0.000160255,1.14E-05,-0.1191,-1348622.793
